M5377_1.02	ELF4
M5378_1.02	ELF5
M5382_1.02	ELK1
M5387_1.02	EMX1
M5389_1.02	EMX2
M5391_1.02	EN1
M5394_1.02	EN2
M5398_1.02	ERF
M5402_1.02	ERG
M5403_1.02	ESR1
M5405_1.02	ESRRA
M5410_1.02	ESRRB
M5412_1.02	ESRRG
M5415_1.02	ESX1
M5419_1.02	ETS1
M5420_1.02	ETV1
M5421_1.02	ETV2
M5422_1.02	ETV3
M5423_1.02	ETV4
M5425_1.02	ETV6
M5427_1.02	EVX1
M5428_1.02	EVX2
M5430_1.02	FIGLA
M5434_1.02	FLI1
M5436_1.02	FOXB1
M5445_1.02	FOXD2
M5449_1.02	FOXG1
M5452_1.02	FOXI1
M5453_1.02	FOXJ2
M5457_1.02	FOXJ3
M5459_1.02	FOXK1
M5463_1.02	FOXO1
M5465_1.02	FOXO3
M5468_1.02	FOXO4
M5471_1.02	FOXO6
M5480_1.02	GBX1
M5482_1.02	GBX2
M5485_1.02	GCM1
M5487_1.02	GCM2
M5490_1.02	GLIS1
M5491_1.02	GLIS2
M5492_1.02	GLIS3
M5494_1.02	GMEB2
M5497_1.02	GRHL1
M5500_1.02	GSC
M5501_1.02	GSC2
M5502_1.02	GSX1
M5503_1.02	GSX2
M5505_1.02	HES5
M5506_1.02	HES7
M5508_1.02	HESX1
M5509_1.02	HEY1
M5512_1.02	HIC2
M5514_1.02	HINFP
M5517_1.02	HMBOX1
M5518_1.02	HMX1
M5519_1.02	HMX2
M5520_1.02	HMX3
M5523_1.02	HNF1B
M5527_1.02	HNF4A
M5530_1.02	HOMEZ
M5537_1.02	HOXA13
M5538_1.02	HOXA2
M5540_1.02	HOXB13
M5541_1.02	HOXB2
M5542_1.02	HOXB3
M5543_1.02	HOXB5
M5546_1.02	HOXC10
M5549_1.02	HOXC11
M5552_1.02	HOXC12
M5554_1.02	HOXC13
M5555_1.02	HOXD11
M5558_1.02	HOXD12
M5562_1.02	HOXD13
M5563_1.02	HOXD8
M5566_1.02	HSF2
M5567_1.02	HSF4
M5568_1.02	HSFY2
M5571_1.02	ID4
M5572_1.02	IRF3
M5573_1.02	IRF4
M5577_1.02	IRF7
M5579_1.02	IRF8
M5580_1.02	IRF9
M5581_1.02	IRX2
M5582_1.02	IRX5
M5583_1.02	ISL2
M5584_1.02	ISX
M5588_1.02	JDP2
M5591_1.02	KLF13
M5592_1.02	KLF14
M5593_1.02	KLF16
M5594_1.02	LBX2
M5596_1.02	LEF1
M5598_1.02	LHX2
M5600_1.02	LHX6
M5603_1.02	LHX9
M5604_1.02	LMX1A
M5606_1.02	LMX1B
M5607_1.02	MAFF
M5608_1.02	MAFG
M5613_1.02	MAX
M5616_1.02	MEF2B
M5617_1.02	MEF2D
M5619_1.02	MEIS2
M5622_1.02	MEIS3
M5623_1.02	MEOX1
M5626_1.02	MEOX2
M5627_1.02	MESP1
M5629_1.02	MGA
M5631_1.02	MIXL1
M5632_1.02	MLX
M5634_1.02	MNT
M5635_1.02	MNX1
M5636_1.02	MSC
M5637_1.02	MSX1
M5640_1.02	MSX2
M5642_1.02	MTF1
M5644_1.02	MYBL1
M5648_1.02	MYBL2
M5651_1.02	MYF6
M5652_1.02	NEUROD2
M5654_1.02	NEUROG2
M5655_1.02	NFAT5
M5656_1.02	NFATC1
M5660_1.02	NFIA
M5662_1.02	NFIB
M5667_1.02	NFIX
M5668_1.02	NFKB1
M5669_1.02	NFKB2
M5672_1.02	NOTO
M5673_1.02	NR2C2
M5675_1.02	NR2E1
M5676_1.02	NR2F1
M5680_1.02	NR2F6
M5683_1.02	NR3C1
M5684_1.02	NR3C2
M5686_1.02	NR4A2
M5688_1.02	NRF1
M5689_1.02	NRL
M5690_1.02	OLIG1
M5692_1.02	OLIG2
M5693_1.02	OLIG3
M5695_1.02	ONECUT1
M5697_1.02	ONECUT3
M5698_1.02	OTX1
M5700_1.02	OTX2
M5702_1.02	PAX1
M5703_1.02	PAX2
M5708_1.02	PAX6
M5710_1.02	PAX7
M5711_1.02	PAX9
M5712_1.02	PDX1
M5714_1.02	PHOX2A
M5716_1.02	PHOX2B
M5718_1.02	PITX1
M5720_1.02	PITX3
M5721_1.02	PKNOX1
M5722_1.02	PKNOX2
M5724_1.02	POU1F1
M5729_1.02	POU2F3
M5731_1.02	POU3F1
M5735_1.02	POU3F3
M5738_1.02	POU3F4
M5740_1.02	POU4F1
M5742_1.02	POU4F2
M5743_1.02	POU4F3
M5745_1.02	POU5F1B
M5747_1.02	POU6F2
M5749_1.02	PRDM1
M5750_1.02	PRDM4
M5751_1.02	PROP1
M5753_1.02	PROX1
M5756_1.02	PRRX1
M5759_1.02	RARA
M5764_1.02	RARB
M5768_1.02	RARG
M5771_1.02	RAX
M5772_1.02	RAX2
M5774_1.02	RFX2
M5776_1.02	RFX3
M5778_1.02	RFX4
M5780_1.02	RFX5
M5784_1.02	RHOXF1
M5787_1.02	RORA
M5789_1.02	RUNX2
M5793_1.02	RUNX3
M5797_1.02	RXRA
M5799_1.02	RXRB
M5802_1.02	RXRG
M5804_1.02	SCRT1
M5805_1.02	SCRT2
M5806_1.02	SHOX
M5807_1.02	SHOX2
M5808_1.02	SMAD3
M5811_1.02	SOX10
M5816_1.02	SOX14
M5820_1.02	SOX15
M5823_1.02	SOX18
M5825_1.02	SOX21
M5831_1.02	SOX2
M5834_1.02	SOX4
M5836_1.02	SOX7
M5838_1.02	SOX8
M5847_1.02	SOX9
M5855_1.02	SP4
M5856_1.02	SP8
M5861_1.02	SPDEF
M5863_1.02	SPI1
M5864_1.02	SPIB
M5865_1.02	SPIC
M5866_1.02	SREBF2
M5869_1.02	SRY
M5874_1.02	TBR1
M5878_1.02	TBX1
M5880_1.02	TBX15
M5882_1.02	TBX19
M5884_1.02	TBX20
M5892_1.02	TBX21
M5897_1.02	TBX4
M5899_1.02	TBX5
M5903_1.02	TCF7L1
M5905_1.02	TEAD1
M5906_1.02	TEAD3
M5909_1.02	TEF
M5916_1.02	TFAP2A
M5919_1.02	TFAP2B
M5922_1.02	TFAP2C
M5929_1.02	TFCP2
M5932_1.02	TFEC
M5933_1.02	TGIF1
M5934_1.02	TGIF2
M5935_1.02	TGIF2LX
M5936_1.02	THRA
M5938_1.02	THRB
M5940_1.02	TP63
M5941_1.02	UNCX
M5944_1.02	VAX1
M5945_1.02	VAX2
M5946_1.02	VDR
M5948_1.02	VENTX
M5949_1.02	VSX1
M5957_1.02	YY2
M5958_1.02	ZBED1
M5959_1.02	ZBTB49
M5960_1.02	ZBTB7A
M5962_1.02	ZBTB7C
M5963_1.02	ZIC1
M5964_1.02	ZIC3
M5965_1.02	ZIC4
M5966_1.02	ZNF143
M5967_1.02	ZNF232
M5970_1.02	ZNF282
M5971_1.02	ZKSCAN3
M5972_1.02	ZNF410
M5973_1.02	ZSCAN16
M5974_1.02	ZNF524
M5976_1.02	ZNF713
M5978_1.02	ZNF740
M5979_1.02	ZNF75A
M5980_1.02	ZNF784
M5981_1.02	ZSCAN4
M5987_1.02	ASCL1
M5996_1.02	CREB3L2
M5998_1.02	CREB5
M6037_1.02	IRX1
M6040_1.02	KLF2
M6098_1.02	TCF24
M6111_1.02	ZBTB47
M6116_1.02	TP73
M6123_1.02	ZNF281
M6140_1.02	AIRE
M6146_1.02	TFAP2D
M6147_1.02	ARID3A
M6150_1.02	ARNT2
M6152_1.02	ATF1
M6154_1.02	ATF5
M6155_1.02	ATF6
M6156_1.02	BACH1
M6157_1.02	BARX2
M6159_1.02	BCL6
M6161_1.02	BHLHE41
M6163_1.02	BPTF
M6164_1.02	T
M6174_1.02	CEBPZ
M6181_1.02	CREM
M6182_1.02	CRX
M6185_1.02	CXXC1
M6187_1.02	DDIT3
M6188_1.02	DLX2
M6189_1.02	DLX3
M6194_1.02	E2F5
M6197_1.02	E4F1
M6204_1.02	ELF2
M6208_1.02	ELK3
M6210_1.02	ENO1
M6211_1.02	EOMES
M6212_1.02	EPAS1
M6221_1.02	ETS2
M6223_1.02	ETV5
M6224_1.02	ETV7
M6226_1.02	FEV
M6228_1.02	FOSB
M6234_1.02	FOXA3
M6236_1.02	FOXC2
M6237_1.02	FOXD3
M6238_1.02	FOXF1
M6244_1.02	FOXM1
M6249_1.02	FOXP3
M6250_1.02	FOXQ1
M6251_1.02	FUBP1
M6256_1.02	GATA4
M6257_1.02	GATA5
M6258_1.02	GATA6
M6262_1.02	GFI1B
M6264_1.02	GLI1
M6265_1.02	GLI2
M6266_1.02	GLI3
M6268_1.02	HAND1
M6269_1.02	HBP1
M6270_1.02	NHLH1
M6271_1.02	HES1
M6273_1.02	HEY2
M6274_1.02	HIC1
M6275_1.02	HIF1A
M6277_1.02	HLF
M6278_1.02	HLTF
M6279_1.02	HMGA1
M6280_1.02	HMGA2
M6284_1.02	HNF4G
M6288_1.02	TCF12
M6291_1.02	HOXA1
M6293_1.02	HOXA7
M6294_1.02	HOXA9
M6295_1.02	HOXB1
M6296_1.02	HOXB6
M6297_1.02	HOXB7
M6298_1.02	HOXB8
M6299_1.02	HOXC6
M6300_1.02	HOXC8
M6301_1.02	HOXD10
M6303_1.02	HOXD4
M6304_1.02	HOXD9
M6306_1.02	INSM1
M6311_1.02	IRF5
M6315_1.02	ISL1
M6316_1.02	TCF4
M6321_1.02	KLF15
M6322_1.02	KLF1
M6323_1.02	KLF3
M6324_1.02	KLF4
M6325_1.02	KLF6
M6326_1.02	KLF8
M6329_1.02	LHX3
M6330_1.02	MAFA
M6331_1.02	MAFB
M6332_1.02	MAF
M6336_1.02	MAZ
M6337_1.02	MBD2
M6339_1.02	MECP2
M6341_1.02	MEF2C
M6343_1.02	MEIS1
M6345_1.02	MITF
M6346_1.02	MLXIPL
M6352_1.02	MYCN
M6355_1.02	MYOG
M6356_1.02	MZF1
M6357_1.02	NANOG
M6358_1.02	NEUROD1
M6360_1.02	NFE2L2
M6363_1.02	NFATC2
M6364_1.02	NFATC3
M6365_1.02	NFATC4
M6373_1.02	NFYC
M6374_1.02	NKX2-1
M6377_1.02	NKX2-8
M6379_1.02	NKX3-2
M6380_1.02	NOBOX
M6381_1.02	NR0B1
M6382_1.02	NR1D1
M6383_1.02	NR1H2
M6384_1.02	NR1H4
M6385_1.02	NR1I2
M6387_1.02	NR1I3
M6389_1.02	NR2C1
M6391_1.02	NR2E3
M6393_1.02	NR4A1
M6395_1.02	NR4A3
M6396_1.02	NR5A2
M6399_1.02	ONECUT2
M6402_1.02	OVOL1
M6411_1.02	PAX8
M6413_1.02	PBX2
M6414_1.02	PBX3
M6416_1.02	CBFB
M6418_1.02	PITX2
M6422_1.02	PLAGL1
M6429_1.02	POU6F1
M6432_1.02	PPARD
M6436_1.02	PGR
M6440_1.02	PRRX2
M6441_1.02	PTF1A
M6442_1.02	PURA
M6448_1.02	RELB
M6455_1.02	RORC
M6457_1.02	RUNX1
M6463_1.02	SMAD1
M6464_1.02	SMAD2
M6466_1.02	SMAD4
M6468_1.02	SNAI1
M6469_1.02	SNAI2
M6471_1.02	SOX13
M6473_1.02	SOX17
M6480_1.02	SP1
M6482_1.02	SP3
M6486_1.02	SPZ1
M6492_1.02	STAT5B
M6496_1.02	STAT4
M6497_1.02	STAT6
M6498_1.02	NR5A1
M6499_1.02	RBPJ
M6501_1.02	TAL1
M6503_1.02	TBX2
M6504_1.02	TBX3
M6506_1.02	TCF7
M6509_1.02	TEAD4
M6515_1.02	TFDP1
M6517_1.02	TFE3
M6518_1.02	TFEB
M6526_1.02	TLX1
M6527_1.02	TWIST1
M6529_1.02	UBP1
M6534_1.02	VSX2
M6535_1.02	WT1
M6537_1.02	YBX1
M6539_1.02	ZBTB7B
M6541_1.02	ZBTB4
M6542_1.02	ZBTB6
M6544_1.02	HIVEP1
M6545_1.02	HIVEP2
M6546_1.02	ZFHX3
M6547_1.02	ZFX
M6549_1.02	ZIC2
M6552_1.02	ZNF148
M6553_1.02	ZNF219
M6554_1.02	ZBTB18
M6555_1.02	ZNF333
M6556_1.02	ZNF350
M6557_1.02	ZNF384
M6558_1.02	ZNF423
M6559_1.02	ZNF589
