142	337
297	363
298	363
277	205
174	87
164	100
250	176
101	195
358	139
157	117
18	73
134	350
56	149
220	53
297	207
298	207
228	32
76	60
328	226
284	1
248	59
98	59
76	227
25	253
76	216
131	108
366	147
85	253
31	133
142	130
42	315
193	73
83	60
329	20
132	147
297	299
298	299
209	234
115	6
236	347
113	80
42	100
88	22
197	139
190	59
213	149
187	77
58	73
338	243
17	53
266	75
186	149
282	202
152	113
122	147
58	22
297	1
298	1
170	201
371	133
284	241
69	78
280	59
101	120
172	140
283	10
56	230
36	272
169	24
250	233
265	95
297	130
298	130
27	324
131	135
156	362
328	173
101	368
82	34
101	32
146	347
52	102
308	80
144	254
296	23
168	253
179	274
18	22
126	59
294	67
186	59
163	234
115	285
33	1
309	22
86	165
41	32
114	244
29	162
25	247
328	147
169	44
62	285
41	243
126	226
321	173
69	32
52	281
157	287
288	230
115	198
131	100
115	185
39	23
58	97
163	34
79	108
168	165
131	37
196	75
85	254
255	13
8	322
262	162
27	274
104	147
79	276
101	232
27	46
62	173
209	243
131	22
132	95
98	147
33	241
72	234
248	150
42	19
187	102
52	133
8	173
346	46
335	147
85	259
331	149
250	273
18	139
11	34
39	95
11	201
82	212
124	45
189	257
114	173
115	245
83	257
292	334
124	6
50	318
153	285
366	201
56	108
153	12
41	44
189	3
101	26
283	55
260	148
153	233
56	26
72	3
98	10
248	87
8	245
42	290
83	268
39	357
35	241
343	239
169	171
129	285
218	24
284	148
172	34
90	176
131	23
58	243
250	46
18	207
76	6
14	319
329	162
62	87
126	44
267	73
27	59
129	32
236	108
346	171
14	73
42	34
9	173
105	87
369	73
174	198
14	233
69	47
192	75
31	181
184	10
25	108
33	303
69	165
27	112
250	20
111	75
39	324
294	89
62	214
144	81
115	313
94	26
217	108
88	100
49	173
79	26
213	60
380	351
104	141
269	320
25	216
269	87
42	21
236	45
122	253
115	32
137	108
33	55
206	48
42	350
266	106
119	26
82	254
219	234
131	75
0	81
123	118
27	55
17	233
17	81
27	245
361	100
189	34
42	32
182	30
101	363
58	23
260	20
35	202
146	73
128	173
114	20
2	28
123	12
94	75
9	133
123	64
56	350
115	47
126	243
170	173
266	263
137	173
52	57
114	149
153	73
115	242
345	32
126	108
42	171
134	330
228	28
203	100
82	253
79	227
29	108
177	102
123	54
211	34
158	120
123	188
220	303
14	259
348	91
98	110
49	23
85	205
9	289
131	59
282	75
69	75
225	13
342	351
179	27
153	87
142	59
14	59
25	173
109	46
164	59
167	257
85	19
33	133
25	57
336	175
115	295
152	22
131	173
58	202
11	75
18	28
137	10
115	48
42	201
178	350
327	150
56	73
69	6
131	242
69	173
16	100
62	73
225	32
282	99
58	10
376	150
339	268
131	87
352	78
119	287
7	162
52	75
225	1
83	3
196	324
203	77
8	32
186	108
76	253
128	301
42	173
345	13
335	108
49	24
142	6
341	91
119	32
111	299
172	118
101	103
9	259
70	23
331	87
151	97
186	249
8	120
255	322
167	201
251	173
41	20
170	13
306	108
336	162
126	351
284	22
203	323
265	26
14	10
4	24
42	60
72	188
94	108
352	117
167	106
132	148
282	173
236	117
18	147
288	95
8	57
4	32
122	75
338	20
268	254
197	57
131	234
33	46
255	191
328	80
18	48
172	108
56	57
35	73
206	20
35	324
372	173
231	173
124	173
25	54
98	319
27	216
27	71
134	19
132	295
228	6
27	285
305	181
321	138
56	173
124	32
184	254
33	21
152	48
27	24
308	67
265	201
186	234
156	324
115	324
39	100
331	81
246	138
127	81
84	13
129	243
172	95
70	59
371	24
85	161
85	243
119	207
182	12
329	91
235	87
109	199
52	259
4	205
52	45
124	330
308	1
125	73
27	99
79	173
297	139
298	139
88	24
115	138
217	32
190	257
35	227
190	95
248	57
187	150
137	32
172	87
267	45
187	133
312	75
76	181
168	198
18	77
277	234
152	65
265	353
109	285
76	99
266	207
66	286
294	120
317	201
221	3
27	130
88	110
76	32
58	272
82	136
382	188
129	202
42	347
352	23
224	148
250	77
70	188
126	162
62	106
156	100
119	40
251	319
35	34
228	162
132	64
126	73
220	315
114	95
69	28
292	32
197	75
131	289
134	46
56	78
297	136
298	136
33	173
134	314
306	95
56	75
183	230
164	81
79	32
122	108
66	195
109	10
127	244
85	23
338	73
170	32
115	60
193	201
9	120
376	161
8	241
2	95
144	24
101	3
69	102
29	22
69	188
124	73
225	227
317	44
41	162
282	320
14	201
2	286
27	106
155	181
297	34
298	34
293	205
157	67
305	147
267	162
93	199
266	347
88	289
167	68
82	91
11	54
109	61
346	173
7	13
340	100
2	91
163	87
35	60
49	80
42	313
94	6
250	40
17	138
197	71
42	121
204	1
178	102
114	289
211	32
328	286
250	87
312	22
31	95
329	214
33	117
158	138
142	22
186	61
200	20
271	95
17	161
223	10
72	64
58	226
155	57
50	45
42	15
50	133
131	253
125	173
25	51
76	80
115	314
134	303
33	68
220	108
146	78
98	289
278	89
225	6
321	32
252	148
79	263
375	75
39	173
66	64
167	285
300	57
8	102
35	80
119	13
194	24
11	272
177	173
94	120
116	22
220	138
88	60
93	295
190	113
343	205
41	173
56	22
155	162
52	349
123	233
260	232
184	147
200	133
33	87
197	99
266	60
27	100
18	318
14	77
332	10
82	75
250	73
153	214
82	324
225	139
18	281
308	77
14	113
39	261
258	73
342	73
373	100
86	3
36	106
62	6
107	10
17	241
146	80
152	214
94	57
131	15
29	87
66	113
296	181
179	176
132	253
152	75
18	20
85	44
192	139
129	240
61	320
50	75
72	77
345	149
228	103
115	207
378	173
124	108
137	87
218	100
132	6
269	215
36	320
98	77
343	22
76	87
211	245
197	32
369	59
88	6
27	80
306	26
